entity_id,type,payment_id,order_id,amount,fee,tax,debit,credit,currency,settlement_id,settlement_utr,created_at,settled_at,method,settled,notes
pay_Fc000000000013,payment,pay_Fc000000000013,order_Fc0000000013,241879,5709,871,0,236170,INR,setl_CLEAN0012,UTRCLN0000000000012,1768644000,1768816800,card,true,GLOBEX
pay_Fc000000000014,payment,pay_Fc000000000014,order_Fc0000000014,150964,3562,543,0,147402,INR,setl_CLEAN0013,UTRCLN0000000000013,1768730400,1768903200,card,true,GLOBEX
pay_Fc000000000015,payment,pay_Fc000000000015,order_Fc0000000015,30790,727,111,0,30063,INR,setl_CLEAN0014,UTRCLN0000000000014,1768816800,1768989600,card,true,GLOBEX
pay_Fc000000000016,payment,pay_Fc000000000016,order_Fc0000000016,162794,3842,586,0,158952,INR,setl_CLEAN0015,UTRCLN0000000000015,1768903200,1769076000,card,true,GLOBEX
pay_Fc000000000017,payment,pay_Fc000000000017,order_Fc0000000017,118604,2799,427,0,115805,INR,setl_CLEAN0016,UTRCLN0000000000016,1768989600,1769162400,card,true,GLOBEX
pay_Fc000000000018,payment,pay_Fc000000000018,order_Fc0000000018,16331,386,59,0,15945,INR,setl_CLEAN0017,UTRCLN0000000000017,1769076000,1769248800,card,true,GLOBEX
pay_Fc000000000019,payment,pay_Fc000000000019,order_Fc0000000019,15811,373,57,0,15438,INR,setl_CLEAN0018,UTRCLN0000000000018,1769162400,1769335200,card,true,GLOBEX
pay_Fc000000000020,payment,pay_Fc000000000020,order_Fc0000000020,32561,768,117,0,31793,INR,setl_CLEAN0019,UTRCLN0000000000019,1769248800,1769421600,card,true,GLOBEX
pay_Fc000000000021,payment,pay_Fc000000000021,order_Fc0000000021,65314,1541,235,0,63773,INR,setl_CLEAN0020,UTRCLN0000000000020,1767607200,1767780000,card,true,GLOBEX
pay_Fc000000000022,payment,pay_Fc000000000022,order_Fc0000000022,68990,1628,248,0,67362,INR,setl_CLEAN0021,UTRCLN0000000000021,1767693600,1767866400,card,true,GLOBEX
pay_Fc000000000023,payment,pay_Fc000000000023,order_Fc0000000023,140475,3316,506,0,137159,INR,setl_CLEAN0022,UTRCLN0000000000022,1767780000,1767952800,card,true,GLOBEX
pay_Fc000000000024,payment,pay_Fc000000000024,order_Fc0000000024,165815,3913,597,0,161902,INR,setl_CLEAN0023,UTRCLN0000000000023,1767866400,1768039200,card,true,GLOBEX
pay_Fc000000000025,payment,pay_Fc000000000025,order_Fc0000000025,14956,353,54,0,14603,INR,setl_CLEAN0024,UTRCLN0000000000024,1767952800,1768125600,card,true,GLOBEX
pay_Fc000000000026,payment,pay_Fc000000000026,order_Fc0000000026,155127,3662,559,0,151465,INR,setl_CLEAN0025,UTRCLN0000000000025,1768039200,1768212000,card,true,GLOBEX
pay_Fc000000000027,payment,pay_Fc000000000027,order_Fc0000000027,60124,1418,216,0,58706,INR,setl_CLEAN0026,UTRCLN0000000000026,1768125600,1768298400,card,true,GLOBEX
pay_Fc000000000028,payment,pay_Fc000000000028,order_Fc0000000028,195700,4619,705,0,191081,INR,setl_CLEAN0027,UTRCLN0000000000027,1768212000,1768384800,card,true,GLOBEX
pay_Fc000000000029,payment,pay_Fc000000000029,order_Fc0000000029,178363,4209,642,0,174154,INR,setl_CLEAN0028,UTRCLN0000000000028,1768298400,1768471200,card,true,GLOBEX
pay_Fc000000000030,payment,pay_Fc000000000030,order_Fc0000000030,191848,4528,691,0,187320,INR,setl_CLEAN0029,UTRCLN0000000000029,1768384800,1768557600,card,true,GLOBEX
pay_Fc000000000031,payment,pay_Fc000000000031,order_Fc0000000031,150853,3560,543,0,147293,INR,setl_CLEAN0030,UTRCLN0000000000030,1768471200,1768644000,card,true,GLOBEX
pay_Fc000000000032,payment,pay_Fc000000000032,order_Fc0000000032,117974,2784,425,0,115190,INR,setl_CLEAN0031,UTRCLN0000000000031,1768557600,1768730400,card,true,GLOBEX
pay_Fc000000000033,payment,pay_Fc000000000033,order_Fc0000000033,65787,1553,237,0,64234,INR,setl_CLEAN0032,UTRCLN0000000000032,1768644000,1768816800,card,true,GLOBEX
pay_Fc000000000034,payment,pay_Fc000000000034,order_Fc0000000034,125757,2968,453,0,122789,INR,setl_CLEAN0033,UTRCLN0000000000033,1768730400,1768903200,card,true,GLOBEX
pay_Fc000000000035,payment,pay_Fc000000000035,order_Fc0000000035,162472,3834,585,0,158638,INR,setl_CLEAN0034,UTRCLN0000000000034,1768816800,1768989600,card,true,GLOBEX
pay_Fc000000000036,payment,pay_Fc000000000036,order_Fc0000000036,80926,1910,291,0,79016,INR,setl_CLEAN0035,UTRCLN0000000000035,1768903200,1769076000,card,true,GLOBEX
pay_Fc000000000037,payment,pay_Fc000000000037,order_Fc0000000037,220187,5197,793,0,214990,INR,setl_CLEAN0036,UTRCLN0000000000036,1768989600,1769162400,card,true,GLOBEX
pay_Fc000000000038,payment,pay_Fc000000000038,order_Fc0000000038,235881,5567,849,0,230314,INR,setl_CLEAN0037,UTRCLN0000000000037,1769076000,1769248800,card,true,GLOBEX
pay_Fc000000000039,payment,pay_Fc000000000039,order_Fc0000000039,9703,229,35,0,9474,INR,setl_CLEAN0038,UTRCLN0000000000038,1769162400,1769335200,card,true,GLOBEX
pay_Fc000000000040,payment,pay_Fc000000000040,order_Fc0000000040,206916,4883,745,0,202033,INR,setl_CLEAN0039,UTRCLN0000000000039,1769248800,1769421600,card,true,GLOBEX
pay_Fc000000000041,payment,pay_Fc000000000041,order_Fc0000000041,219240,5174,789,0,214066,INR,setl_CLEAN0040,UTRCLN0000000000040,1767607200,1767780000,card,true,GLOBEX
pay_Fc000000000042,payment,pay_Fc000000000042,order_Fc0000000042,49853,1176,179,0,48677,INR,setl_CLEAN0041,UTRCLN0000000000041,1767693600,1767866400,card,true,GLOBEX
pay_Fc000000000043,payment,pay_Fc000000000043,order_Fc0000000043,191013,4508,688,0,186505,INR,setl_CLEAN0042,UTRCLN0000000000042,1767780000,1767952800,card,true,GLOBEX
pay_Fc000000000044,payment,pay_Fc000000000044,order_Fc0000000044,118785,2804,428,0,115981,INR,setl_CLEAN0043,UTRCLN0000000000043,1767866400,1768039200,card,true,GLOBEX
pay_Fc000000000045,payment,pay_Fc000000000045,order_Fc0000000045,97194,2294,350,0,94900,INR,setl_MEMO0000,,1768471200,1768644000,card,true,ACME
pay_Fc000000000046,payment,pay_Fc000000000046,order_Fc0000000046,80842,1908,291,0,78934,INR,setl_MEMO0001,,1768557600,1768730400,card,true,ACME
pay_Fc000000000047,payment,pay_Fc000000000047,order_Fc0000000047,48758,1151,176,0,47607,INR,setl_MEMO0002,,1768644000,1768816800,card,true,ACME
pay_Fc000000000048,payment,pay_Fc000000000048,order_Fc0000000048,64443,1521,232,0,62922,INR,setl_MEMO0003,,1768730400,1768903200,card,true,ACME
pay_Fc000000000049,payment,pay_Fc000000000049,order_Fc0000000049,208145,4912,749,0,203233,INR,setl_MEMO0004,,1768816800,1768989600,card,true,ACME
pay_Fc000000000050,payment,pay_Fc000000000050,order_Fc0000000050,96236,2272,347,0,93964,INR,setl_MEMO0005,,1768903200,1769076000,card,true,ACME
pay_Fc000000000051,payment,pay_Fc000000000051,order_Fc0000000051,34793,696,0,0,34097,INR,setl_GST0000,UTRGST0000000000000,1769335200,1769508000,card,true,ACME
pay_Fc000000000052,payment,pay_Fc000000000052,order_Fc0000000052,32312,646,0,0,31666,INR,setl_GST0001,UTRGST0000000000001,1769421600,1769594400,card,true,ACME
pay_Fc000000000053,payment,pay_Fc000000000053,order_Fc0000000053,107595,2539,387,0,105056,INR,setl_MISS0000,UTRMSS0000000000000,1769508000,1769680800,card,false,ACME
pay_Fc000000000054,payment,pay_Fc000000000054,order_Fc0000000054,33353,787,120,0,32566,INR,setl_MISS0001,UTRMSS0000000000001,1769594400,1769767200,card,false,ACME
pay_Fc000000000055,payment,pay_Fc000000000055,order_Fc0000000055,102104,2410,368,0,102104,INR,setl_AMT0000,UTRAMT0000000000000,1769680800,1769853600,card,true,ACME
pay_Fc000000000056,payment,pay_Fc000000000056,order_Fc0000000056,230165,5432,829,0,230165,INR,setl_AMT0001,UTRAMT0000000000001,1769767200,1769940000,card,true,ACME
rfnd_Fc000000000057,refund,pay_Fc000000000057,order_Fc0000000057,15000,0,0,15000,0,INR,setl_RFND0001,UTRRFD0000000000001,1769853600,1770026400,card,true,ACME
adj_Fc000000000058,adjustment,pay_SKIP00000058,order_SKIP000058,1000,0,0,1000,0,INR,setl_SKIP0001,UTRSKP0000000000001,1769940000,1769940000,card,true,ACME
trf_Fc000000000059,transfer,pay_SKIP00000059,order_SKIP000059,1000,0,0,1000,0,INR,setl_SKIP0001,UTRSKP0000000000001,1769940000,1769940000,card,true,ACME
adj_Fc000000000060,adjustment,pay_SKIP00000060,order_SKIP000060,1000,0,0,1000,0,INR,setl_SKIP0001,UTRSKP0000000000001,1769940000,1769940000,card,true,ACME
